CASEID,FOLIO,REGION,MANZANA,NSE,INT_CODE,A,B,P1,SEXO1,SEXO2,SEXO3,SEXO4,SEXO5,SEXO6,SEXO7,SEXO8,SEXO9,SEXO10,SEXO11,SEXO12,SEXO13,SEXO14,SEXO15,EDAD1,EDAD2,EDAD3,EDAD4,EDAD5,EDAD6,EDAD7,EDAD8,EDAD9,EDAD10,EDAD11,EDAD12,EDAD13,EDAD14,EDAD15,ACTIV_1A,ACTIV_1B,ACTIV_1C,ACTIV2,ACTIV3,ACTIV4,ACTIV5,ACTIV6,ACTIV7,ACTIV8,ACTIV9,ACTIV10,ACTIV11,ACTIV12,ACTIV13,ACTIV14,ACTIV15,REL2,REL3,REL4,REL5,REL6,REL7,REL8,REL9,REL10,REL11,REL12,REL13,REL14,REL15,P3,P3_1,P3_2,P3_3,P4,P4_1,P4_2,P4_3,P5,P6,P7,P8_1,P8_2,P9,P10,P11,P12,P13,P14,P15,P15_1,P16,P16_1,P17,P17_S,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P32_S,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P47_S,P48,P49,P50,P51,P52,P52_A,P53,P54,P54_1,P55,P56,P57,P57_S,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P72_A,P73,P73_A,P74_1,P74_2,P74_3,P74_4,P74_5,P74_6,P75,P75_A,P76,P77,P78,P78A,P79,P80,P81,P82,P83,P84,P85,P86,P86_S,P87,P88,P88_A,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P98A,P98B,P98C,P99_1,P99_2,P99_3,P99_4,P99_1A,P99_2A,P99_3A,P99_4A,P1001,P101,P102,P103,P104,P105,P106,P107_1,P107_2,P107_3,P107_4,P107_5,P107_6,P107_1A,P107_2A,P107_3A,P107_4A,P107_5A,P108,P109,P110,P111_1,P111_2,P111_3,P111_4,P111_5,P111_6,P111_7,P111_8,P111_9,P111_10,P111_11,P112,P112_1,P113,P114,P115,P116,P116A,P116ASQ,P116B,P116_A,P116_B,P117,P117_A,P118,P119,P120,P121,P1220,P122_S,P123,P124,P125
2999,1575,13, ,3,356,1,31,3,1,2,1, , , , , , , , , , , , ,31,32,3, , , , , , , , , , , , ,5, , ,3, , , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,2,274,8,2,3,86,8,3,7,4,100,1,1,4, ,1, , , , , , ,1,7233,0,26,1,3,1,2, ,1,5,4,72,2,1992,20,7224,0,28,2,3,2,2, ,1,3,4,80,1990,5,1, , , , , , ,2,0,6,39,4,23,1954,9212,0,20,1,3,1,0,1,2,3,5,9,3,6,9,3,1,1,1,1,2,1,2,2,2, ,2,0,3,1,1,1,11,2,3,2,3,6,9,6114,0,1,1,1,2,1997,3,3,2,1,1,4,1,4,4,0,0, , , , , , , , , , , ,1, ,10000000,1,2,2,1,2,2, ,0,0,1,0,0,8,1,8,1,1,1,2,2,2,2,2,2,1, ,2, ,1,6,3,6,6,36,6,2,2,2, ,1,3,6,1,6114,0,1,2,2
3000,1279,7, ,4, ,1,36,3,1,2,1, , , , , , , , , , , , ,36,13,10, , , , , , , , , , , , ,5, , ,1,1, , , , , , , , , , , , ,3,3, , , , , , , , , , , , ,2,299,8,2,2, , ,99,5,4, ,1,3,3, ,1, , , , , , ,1,8322,0,52,1,3,1,2, ,1,4,2,60,2,1998,23,9333,0,1,1,3,1,2, ,1,4,2,48,1993,5,2,8162,0,2,15,1994,1995,2,0,7,32, ,30,1909,9211,0,1,2,3,2, ,1,4,3,3,9,0,0,0,0,2,0,2,0, , , , , , ,2,0,5,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,30000000,1,2,2,2,2,1, ,0,0,0,0,1,3,1,3,2,1,2,2,2,1,1,2,2,2, ,2, ,1,5,3,0, , ,0, , ,2,0,2, , , , , , , , 
3001,718,13, ,4,193,1,28,4,1,2,1,1, , , , , , , , , , , ,28,24,2,0, , , , , , , , , , , ,2, , ,5, , , , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,180,7,3,1, , ,99,5,4, ,1,2,1, ,2,1,1,12,1,1999, ,2,5220,1,51,1,3,1,1,2,1,5,4,48,2,1997,24,4190,0,85,1,3,1,2, ,1,4,2,60,1997,5,2,3213,0,2,1,1995,1996,1,1, , , , ,1943,5220,0,52,2,2, , , , ,3,6,9,1,0,0,3,2,0,2,0, , , , , , ,1,1,2,1,1,1,4,4,1,1,6,6,9,7224,0,1,1,1,1,1999,2,1,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,90000,8000000,2, , , , , , , , , , , ,2,2,3,2,2,1,2,2,2,2,2,2,2, ,2, ,2,5,1,7,7,49,7,2,2,2, ,1,2,6,1,7124,0,45,3,2
3002,3589,9, ,3, ,1,33,2,1,2, , , , , , , , , , , , , ,33,68, , , , , , , , , , , , , ,5, , ,3, , , , , , , , , , , , , ,4, , , , , , , , , , , , , ,1, , , ,1, , ,99,4,4, ,1,1,3, ,1, , , , , , ,1,4211,1,55,1,3,1,1,1,1,2,4,48,2,2000,19,5220,0,52,1,3,1,2, ,1,3,4,48,1989,5,2,5220,0,2,52,1995,1998,2,0,1,31, ,1,1933,9131,0,95,1,5,2, ,1,1,6,3,9, , , , ,2,0,2,0, , , , , , ,2,0,4,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,90000,35000000,2, , , , , , , , , , , ,5,2,6,1,1,1,2,2,2,2,1,2,2, ,2, ,2,7,3,6,6,36,6,2,2,2, ,1,4,4,1,7412,0,15,3,1
3003,1744,13, ,4,174,1,36,2,1,2, , , , , , , , , , , , , ,36,64, , , , , , , , , , , , , ,2, , ,4, , , , , , , , , , , , , ,4, , , , , , , , , , , , , ,1, , , ,1, , ,99,4,1, ,3,1,4, ,2,1,2, ,1,2001,4,2,4222,0,60,1,3,1,2, ,1,7,4,56,2,1995,16,9151,0,15,2,3,5,2, ,1,7,4,35,1982,5,1, , , , , , ,2,0,1,31, ,1,1937,9131,0,95,1,2, , , , ,1,0,9,99,99,9,9,1,1,2,0, , , , , , ,2,0,7,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,6500000,2, , , , , , , , , , , ,1,1,4,1,1,1,2,2,2,2,2,2,0, ,2, ,2,4,2,0, , ,0, , ,0, ,2, , , , , , , , 
3004,544,13, ,3,541,1,27,3,1,2,1, , , , , , , , , , , , ,27,25,5, , , , , , , , , , , , ,5, , ,5, , , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,1, , ,99,11,2,113,1,2,4, ,1, , , , , , ,1,4211,0,65,1,3,1,1,1,1,7,2,55,1,1997,18,5220,0,31,1,3,3,2, ,1,4,4,60,1994,5,2,3433,0,2,28,1995,1995,1,1, , , , ,1954,9132,1,93,1,3,2, ,1,4,6,5,9,6,4,9,1,2,0,2,0, , , , , , ,2,0,3,3,1,1,11,2,1,1,4,3,9,4190,0,2,1,1,2,1995,1,1,1,2, , ,2,1,1,1,1,2,2,2,1,0,0,0,1,2, , ,7,45000,12000000,2, , , , , , , , , , , ,5,2,7,1,2,2,2,2,2,2,2,2,2, ,2, ,1,4,2,2,2,4,2,1,2,2, ,2, , , , , , , , 
3005,2886,1, ,3, ,1,32,4,1,2,2,1, , , , , , , , , , , ,32,25,5,1, , , , , , , , , , , ,5, , ,5,1, , , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,135,1,3,1, , ,99,5,3, ,1,1,3, ,1, , , , , , ,1,4190,0,75,1,3,1,1,1,1,4,4,60,2,1995,17,9313,0,45,2,3,2,2, ,1,4,2,48,1988,5,1, , , , , , ,1,1, , , , ,1943,8322,0,60,1,2, , , , ,2,3,9,4,1,9,2,1,1,2,0, , , , , , ,1,1,5,3,1,1,5,5,1,1,0,0,1,5220,0,1,1,1,2,1995,1,1,1,2, , ,1,4,4,0,0, , , , , , , , ,2, , ,4, ,1500000,1,1,2,2,2,2,2,1,0,0,0,0,6,2,8,1,1,1,2,2,2,2,1,2,2, ,2, ,1,4,2,3,3,9,3,1,2,2, ,1,13,6,1,0,0,13,3,2
3006,1728,13, ,4,28,1,36,6,1,2,2,2,2,2, , , , , , , , , ,36,38,15,14,4,3, , , , , , , , , ,5, , ,3,1,1,1,1, , , , , , , , , ,2,3,3,3,3, , , , , , , , , ,2,101,8,1,2, , ,99,4,3, ,1,2,3, ,1, , , , , , ,1,7122,0,45,2,2, ,2, , , ,2,40,2,1982,15,9151,0,60,1,3,5,2, ,2,2,4,60,1982,5,1, , , , , , ,2,0,1,1, ,1,1946,7345,0,22,1,3,2, ,2,4,3,6,9,99,99,9,9,1,1,2,0, , , , , , ,2,0,2,2,2,0,2,3,2,6,0,0,1,0,0,0,0, ,0,1984,1,2,1,2, , ,2,3,3,2,1,2,2,2,1,0,0,0,1,2, , ,6, , ,2, , , , , , , , , , , ,6,2,7,1,1,2,2,2,2,2,2,2,2, ,2, ,2,2,2,4,4,16,4,2,2,2, ,1,4,4,0,0,0,0,0,2
3007,2138,13, ,3,14,1,27,4,1,2,1,1, , , , , , , , , , , ,27,27,6,3, , , , , , , , , , , ,2, , ,3,1, , , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,2, , ,99,4,3, ,1,1,3, ,2,2,2, ,1,2000,7,2,5122,0,55,1,3,1,2, ,1,7,4,56,2,1999,20,5220,0,52,1,3,1,1,1,1,6,4,60,1998,5,2,5220,0,2,52,1995,1998,1,1, , , , ,1942,7124,0,45,2,3,2, ,1,7,3,3,9,0,0,0,0,1,1,2,0, , , , , , ,2,0,3,2,1,1,5,1,3,1,2,1,9,7122,0,2,2,0,2,1994,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,6, , ,2, , , , , , , , , , , ,1,0,0,2,2,1,2,2,2,2,2,2,2, ,2, ,2, ,2,4,4,16,4,2,1,1,3,1,4,1,3, , , , ,2
3008,2050,6, ,3, ,1,33,5,1,2,1,1,1, , , , , , , , , , ,33,29,10,8,1, , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,1, , , ,1, , ,99,9,2,100,1,1,3, ,1, , , , , , ,1,7233,0,13,1,3,1,2, ,1,7,4,48,2,1995,17,9151,0,1,2,3,2,2, ,1,6,4,60,1987,5,2,9211,0,2,2,1995,1995,1,1, , , , ,1944,7124,0,13,1,3,1,1,2,7,3,6,9,6,2,9,3,1,1,2,0, , , , , , ,1,1,6,3,1,1,4,4,3,1,0,0,1,6114,0,1,1,1,2,1990,1,1,1,2, , ,1,1,1,1,1,2,2,2,1,0,0,0,1,1,1995,1,1, ,0,2, , , , , , , , , , , ,6,1,6,1,1,1,2,2,1,1,1,2,2, ,2, ,1,7,4,3,3,9,3,2,1,2, ,1,4,4,2,3412,0,66,0,2
3009,1964,13, ,4,163,1,36,4,1,2,2,1, , , , , , , , , , , ,36,36,1,11, , , , , , , , , , , ,5, , ,3, ,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,2,4, ,1,4,6,2,1, , , , , , ,1,7122,0,45,2,2, ,2, , , ,2,30,2,2001,12,9111,0,52,2,2, , , , , ,4,84,1985,5,2,7122,0,2,45,1985,2001,2,0,1,0, ,1,1953,5132,0,85,1,3,2, ,1,6,3,6,9,99,99,9,9,1,1,2,0, , , , , , ,2,0,2,2,1,1,2,4,3,1,2,3,9,7122,0,2,1,1,2,1985,1,1,1,2, , ,2,2,2,1,1,2,2,2,1,0,0,0,1,2, , ,4, ,4000000,2, , , , , , , , , , , ,2,1,2,2,2,2,2,2,2,2,2,2,2, ,2, ,2,3,1,6,6,36,6,2,2,2, ,1,3,2,0,7122,0,45,3,2
3010,1922,8, ,2, ,1,34,5,1,2,1,2,1, , , , , , , , , , ,34,33,10,3,17, , , , , , , , , , ,5, , ,3,1, ,1, , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,1, , , ,1, , ,99,5,4, ,1,1,4, ,1, , , , , , ,1,7233,0,5,1,3,1,1,1,1,5,4,70,2,1997,18,7231,0,5,1,3,1,2, ,1,7,4,60,1989,5,2,7231,0,1, ,1991,1997,1,1, , , , ,1943,8322,0,5,1,3,2, ,1,7,3,0,9,2,4,9,3,1,1,2,0, , , , , , ,1,1,5,3,1,1,5,4,3,1,3,4,9,0,0,2,1,1,1,1990,4,1,2,2, , ,1,4,4,0,0, , , , , , , , ,1,1996,4,2, ,18000000,2, , , , , , , , , , , ,10,1,10,1,1,1,1,2,2,1,1,1,1, ,1,2,1,6,3,3,3,9,3,1,2,1,1,1,4,4,1,1314,0,52,1,1
3011,1207,13, ,2,5,1,35,6,1,2,2,2,2,1, , , , , , , , , ,35,35,8,6,3,2, , , , , , , , , ,5, , ,3,1,1,6,6, , , , , , , , , ,2,3,3,3,3, , , , , , , , , ,1, , , ,1, , ,99,13,5,316,1,1,3, ,1, , , , , , ,1,3119,0,50,1,3,1,1,2,1,6,4,55,2,2001,19,7231,0,52,1,3,1,1,2,1,6,4,55,2001,5,1, , , , , , ,1,1, , , , ,1939,7124,0,45,2,2, , , , ,3,6,9,4,3,9,1,1,1,2,0, , , , , , ,2,0,3,2,1,1,4,4,3,1,3,6,9,7124,0,2,1,1,2,1991,1,1,1,1,2,4,2,4,4,0,0, , , , , , , , , , , ,1, ,15000000,2, , , , , , , , , , , ,11,1,11,1,1,1,2,2,1,1,2,1,1, ,1,1,2,6,2,2,2,4,2,1,2,2, ,2, , , , , , , , 
3012,3766,13, ,4,28,1, ,4,1,2,2,1, , , , , , , , , , , ,36,34,5,12, , , , , , , , , , , ,2, , ,5,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,2,8, ,1,4,2, ,2,2,2, ,1,2001,9,2,7122,0,45,0,0,0,0, ,0,0,0, ,0,0,16,9151,0,55,2,3,5,2, ,1,4,4,65,1982,5,1, , , , , , ,1,1, , , , ,1944,7122,0,45,1,3,2, ,1,5,6,6,9,6,6,9,2,2,0,2,0, , , , , , ,0, ,3,1,1,1,8,2,1,1,0,0,1,9152,0,2,1,1,2,1990,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1995,4,2, ,10000000,2, , , , , , , , , , , ,2,2,5,1,1,1,2,2,2,2,2,2,2, ,2, ,2,3,2,4,4,16,4,1,2,2, ,1,4,4,1,8212,0,26,3,1
3013,510,13, ,3,330,1,31,4,1,2,2,1, , , , , , , , , , , ,31,28,8,6, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,13,6,7,2,2,4, ,1, , , , , , ,1,2411,1,65,1,3,1,1,2,1,7,4,45,2,1991,21,4211,0,65,2,3,3,2, ,1,7,4,60,1991,5,2,2411,0,1, ,1994,1999,1,1, , , , ,1945,5220,1,52,1,3,1,2,1,6,12,1,9,6,6,9,3,1,1,1,1,2,2,2,2,1, ,1,1,7,3,1,1,11,6,1,4,7,0,9,2411,0,2,2,0,1,1997,1,1,2,2, , ,1,3,3,2,1,1,2,1,2,1,0,1,0,2, , ,7,130000,12000000,2, , , , , , , , , , , ,10,2,10,1,1,1,1,2,1,1,1,1,2, ,1,1,1,7,3,3,3,9,3,2,2,2, ,2, , , , , , , , 
3014,996,9, ,4, ,1,30,3,1,1,2, , , , , , , , , , , , ,30,72,35, , , , , , , , , , , , ,5, , ,4,3, , , , , , , , , , , , ,4,2, , , , , , , , , , , , ,1, , , ,1, , ,99,4,2, ,3,1,3, ,1, , , , , , ,1,9333,0,52,1,3,5,2, ,1,3,4,60,2,1995,19,9333,0,52,1,3,5,2, ,1,2,4,60,1994,5,1, , , , , , ,1,1, , , , ,1960,9333,0,15,1,3,2, ,1,5,3,6,9,3,4,9,0,1,1,2,0, , , , , , ,2,0,5,3,1,1,4,4,3,2,3,6,9,9110,0,1,1,1,1,1990,1,3,2,1,2,4,2,4,4,0,0, , , , , , , , , , , ,6, , ,1,2,2,1,2,2, ,0,0,1,0,0,3,2,7,1,1,1,2,2,2,2,2,2,2, ,2, ,1,4,2,3,3,9,3,2,2,2, ,1,2,7,1,9333,0,15,3,1
3015,2529,5, ,3,505,1,29,1,1, , , , , , , , , , , , , , ,29, , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,155,7,3,1, , ,99,11,4,113,1,2,3, ,1, , , , , , ,1,5220,1,52,1,3,1,1,1,1,3,2,96,1,1999,22,3471,0,22,2,3,2,1,1,1,3,4,48,1993,5,2,3471,0,2,52,1993,1996,2,0,1,0, ,0,1947,5141,0,93,2,2, , , , ,9,2,9,0,0,0,0,2,0,2,0, , , , , , ,1,1,5,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,50000,10000000,2, , , , , , , , , , , ,5,1,5,1,1,1,2,2,2,2,2,2,2, ,2, ,2,6,3,2,2,4,2,2,2,2, ,1,4,4,1,5220,0,52,3,2
3016,543,13, ,3,541,1,36,6,1,2,2,1,2,2, , , , , , , , , ,36,79,26,7,6,1, , , , , , , , , ,5, , ,4,3,1,1, , , , , , , , , , ,4,2,3,3,3, , , , , , , , , ,2,264,8,0,1, , ,99,5,4, ,1,1,3, ,1, , , , , , ,1,7222,0,29,1,3,1,2, ,1,5,4,50,1,1998,19,7222,0,40,1,3,1,2, ,1,6,4,50,1990,5,2,7222,0,2,28,1995,1998,1,1, , , , ,1923,110,0,75,1,4,2, ,1,7,0,0,1,3,3,9,1,1,1,2,0, , , , , , ,2,0,4,2,1,1,4,4,3,2,1,0,9,7422,0,2,1,1,2,1993,1,1,1,2, , ,2,1,1,1,1,2,2,2,1,0,0,0,1,2, , ,6, , ,2, , , , , , , , , , , ,5,2,0,1,2,1,2,2,2,2,2,2,2, ,2, ,2,3,2,0, , ,0, , ,0, ,2, , , , , , , , 
3017,3711,13, ,3,137,1,35,4,1,2,2,2, , , , , , , , , , , ,35,35,12,6, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,4,4, ,1,1,4, ,1, , , , , , ,1,1312,0,18,1,2, ,2, , , ,4,45,5,2000,18,9141,0,93,1,3,1,2, ,1,0,2,72,1987,5,2,9313,0,2,45,1995,1998,1,1, , , , ,1934,7412,0,15,1,3,2, ,1,4,3,3,9,6,6,9,3,2,0,2,0, , , , , , ,2,0,2,1,2,0,4,3,3,2,0,0,1,5130,0,2,1,1,2,1996,1,3,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,6, , ,2, , , , , , , , , , , ,1,1,1,1,1,2,2,2,2,2,2,2,2, ,2, ,2,5,2,8,8,64,8,2,1,2, ,1,4,1,1,5230,0,15,2,1
3018,387,13, ,4,434,1,34,4,1,2,2,1, , , , , , , , , , , ,34,35,9,5, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,4,4, ,1,2,3, ,1, , , , , , ,1,8271,0,15,1,3,2,2, ,1,6,4,56,2,2001,18,8211,0,29,1,3,1,2, ,1,7,4,48,1994,5,2,8161,0,2,40,1995,1996,1,1, , , , ,1948,7233,0,25,1,3,2, ,1,4,3,6,9,3,4,9,1,1,1,2,0, , , , , , ,2,0,1,1,1,1,4,4,3,1,3,6,1,3423,0,1,2,0,2,1990,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,70000,8000000,2, , , , , , , , , , , ,3,1,3,1,2,2,2,2,2,2,2,2,2, ,2, ,2,1,1,4,4,16,4,1,2,2, ,1,2,8,2,9151,0,24,3,2
3019,2023,5, ,5,502,1,29,2,1,2, , , , , , , , , , , , , ,29,39, , , , , , , , , , , , , ,5, , ,3, , , , , , , , , , , , , ,2, , , , , , , , , , , , , ,1, , , ,1, , ,99,2,6, ,1,4,3, ,1, , , , , , ,1,5230,0,52,1,3,5,2, ,1,4,4,24,4,1997,17,9313,0,45,2,3,1,2, ,1,5,2,50,1989,5,2,9313,0,2,45,1995,1995,2,0,2, , , ,1959,99,0,9,99,99,99, ,99,99,0,0,9,0,0,0,0,2,0,2,0, , , , , , ,2,0,1,1,2,0,2,8,3,0, , , , , , , , , ,1994,3,2,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,6, , ,2, , , , , , , , , , , ,3,1,3,1,1,2,2,2,2,2,1,2,2, ,2, ,2,1,1,1,1,1,1,2,1,2, ,2, , , , , , , , 
3020,1569,13, ,4,28,1,33,6,1,2,2,1,1,2, , , , , , , , , ,33,33,13,12,10,4, , , , , , , , , ,5, , ,5,1,1,1,1, , , , , , , , , ,2,3,3,3,3, , , , , , , , , ,2,60,2,2,3,35,2,2,4,1, ,1,1,3, ,1, , , , , , ,1,7122,0,45,1,3,2,2, ,1,4,4,48,2,2000,14,9151,0,92,1,3,2,2, ,1,4,4,48,1982,5,1, , , , , , ,2,0,2, , , ,1940,7111,0,13,1,3,2, ,1,6,3,6,9,0,0,0,0,1,1,2,0, , , , , , ,1,1,6,3,2,0,4,4,2,2,6,6,9,99,0,3,1,1,2,1988,2,3,1,2, , ,2,3,3,2,1,2,2,2,1,0,0,0,1,2, , ,7,45000,6000000,2, , , , , , , , , , , ,3,2,4,1,1,2,2,2,2,2,2,2,2, ,2, ,2,4,2,0, , ,0, , ,2, ,2, , , , , , , , 
3021,813,9, ,5, ,1,31,4,1,2,1,1, , , , , , , , , , , ,31,21,6,1, , , , , , , , , , , ,5, , ,3,1, , , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,2,6, ,1,4,6,3,1, , , , , , ,1,9212,0,2,2,3,1,2, ,1,4,4,60,5,2000,13,9211,0,1,2,3,5,2, ,1,2,4,50,1994,1, , , , , , , ,1,1, , , , ,1950,7231,0,50,1,3,2, ,1,3,1,0,9,1,0,0,3,2,0,2,0, , , , , , ,2,0,1,1,2,0,2,2,3,8, , , , , , , , , ,2000,1,3,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,20000,2000000,2, , , , , , , , , , , ,2,1,2,2,2,1,2,2,2,2,2,2,2, ,2, ,2,1,1,0, , ,0, , ,2, ,2, , , , , , , , 
3022,3639,13, ,1,13,1,35,1,1, , , , , , , , , , , , , , ,35, , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , ,99,13,6,15,2,2,3, ,1, , , , , , ,1,2421,0,93,1,2, ,2, , , ,4,60,5,1995,20,3432,0,93,1,3,3,2, ,1,2,4,20,1995,5,1, , , , , , ,1,1, , , , ,1940,2320,0,80,1,3,2, ,1,6,13,5,9,6,6,9,1,1,1,2,0, , , , , , ,1,1,6,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,140000,30000000,2, , , , , , , , , , , ,12,1,12,1,1,1,1,2,1,1,1,1,1, ,1,1,2,6,3,2,2,4,2,1,2,2, ,2, , , , , , , , 
3023,1209,13, ,2,541,1,33,4,1,2,2,2, , , , , , , , , , , ,33,27,10,6, , , , , , , , , , , ,5, , ,5,3,3, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,13,3,61,1,2,4, ,1, , , , , , ,1,3113,0,13,0,3,1,1,1,1,7,4,48,2,1988,22,3113,0,13,1,3,1,1,1,1,7,4,48, ,5,1, , , , , , ,1,1, , , , ,1927,4132,1,27,1,3,1,1,1,6,3,4,9,3,1,9,3,1,1,2,0, , , , , , ,1,1,8,3,1,1,13,5,2,2,6,6,9,4190,0,2,1,1,2,1992,1,1,2,2, , ,1,4,4,0,0, , , , , , , , ,2, , ,7,190000,40000000,2, , , , , , , , , , , ,10,2,12,1,1,1,1,2,1,1,1,1,1, ,1,1,1,8,2,3,3,9,3,2,2,2, ,1,13,4,1,4190,0,92,3,1
3024,9,13, ,4, ,1,30,4,1,2,1,1, , , , , , , , , , , ,30,27,3,3, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,5,4, ,1,3,3, ,1, , , , , , ,1,7313,0,28,1,2, ,2, , , ,1,60,5,1998,18,7313,0,28,1,3,5,2, ,1,2,4,35,1988,5,1, , , , , , ,1,1, , , , ,1947,7313,0,28,1,2, , , , ,3,3,9,3,3,9,1,1,1,2,0, , , , , , ,1,1,5,2,1,1,4,4,3,1,0,0,1,0,0,0,1,1,1,1997,4,1,2,2, , ,1,1,1,1,1,1,2,2,2,1,0,0,0,2, , ,4, ,8000000,2, , , , , , , , , , , ,4,1,4,1,1,1,2,2,2,2,2,2,2, ,1,1,2,4,3,5,5,25,5,2,2,2, ,1,4,3,1,7313,0,28,2,1
3025,1756,13, ,4,53,1,32,3,1,2,1, , , , , , , , , , , , ,32,28,11, , , , , , , , , , , , ,5, , ,3,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,2,152,8,3,1, , ,99,5,2, ,1,1,3, ,2,2,2, ,1,2001,4,2,9313,0,45,1,3,2,2, ,1,5,2,48,2,2000,15,9212,0,2,1,3,1,2, ,1,6,4,70,1990,5,2,9212,0,2,2,1990,1996,1,1, , , , ,1938,6141,0,2,1,3,2, ,1,5,0,0,2,3,2,9,3,1,1,2,0, , , , , , ,2,0,3,2,1,1,2,3,3,1,6,3,9,6153,0,1,1,1,2,1989,1,1,2,2, , ,2,1,1,1,1,1,2,2,2,1,0,0,0,2, , ,7,52000,600000,2, , , , , , , , , , , ,3,1,3,1,1,2,2,2,2,2,2,2,2, ,2, ,2,4,2,6,6,36,6,2,1,2, ,1,2,8,1,5220,0,52,3,1
3026,1225,2, ,4, ,1,35,9,1,1,1,2,1,1,1,2,1, , , , , , ,35,73,36,34,33,31,15,14,5, , , , , , ,2, , ,4,5,3,5,5,1,1,1, , , , , , ,5,9,2,9,9,3,3,3, , , , , , ,1, , , ,1, , ,99,4,1, ,1,1,3, ,2,1,1,16,1,2000, ,2,7123,0,26,2,4,2,2, ,1,4,4,45,2,1999,16,9333,0,15,2,3,1,2, ,1,6,4,98,1988,5,2,7123,0,2,26,1989,1995,1,1, , , , ,1949,7224,0,75,1,4,2, ,1,5,2,5,9,6,1,9,3,1,1,2,0, , , , , , ,2,0,5,2,1,1,5,4,3,1,1,0,9,7111,0,2,1,1,2,1985,1,1,1,2, , ,2,2,2,1,1,2,2,2,1,0,0,0,1,2, , ,4, ,5000000,2, , , , , , , , , , , ,1,4,4,1,1,2,2,2,2,2,1,2,2, ,2, ,2,5,2,6,6,36,6,2,2,2, ,1,2,8,1,8324,0,60,4,2
3027,3717,13, ,5,174,1,31,5,1,2,1,2,1, , , , , , , , , , ,31,26,9,4,3, , , , , , , , , , ,2, , ,3,1,6,6, , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,1, , , ,1, , ,99,5,3, ,1,1,4, ,2,1,1,8,1,1998, ,2,7212,0,28,1,3,1,1,1,1,4,4,48,2,1990,21,7212,0,28,1,3,1,2, ,1,4,4,8,1998,5,1, , , , , , ,2,0,1,1, ,1,1948,9131,0,95,2,5,2, ,1,1,2,3,9, , , , ,1,1,2,0, , , , , , ,2,0,4,2,1,1,4,1,3,8, , , , , , , , , ,1991,3,1,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,4, ,3000000,2, , , , , , , , , , , ,2,1,2,1,2,2,2,2,2,2,2,2,2, ,2, ,2,1,1,2,2,4,2,1,2,1,3,1,4,1,1,7141,0,24,3,2
